# Preibisch+1993
# http://cdsads.u-strasbg.fr/abs/1993A%26A...279..577P
# amorphous carbon, Tab.1
# w(micron) Re(m) Im(m)
0.105 1.415 0.796
0.207 1.617 0.512
0.41 1.879 0.774
0.81 2.318 0.773
1.077 2.445 0.766
1.207 2.501 0.761
1.515 2.594 0.759
1.698 2.641 0.773
1.902 2.695 0.784
2.014 2.725 0.788
2.256 2.785 0.799
2.388 2.818 0.801
2.528 2.849 0.8
2.676 2.879 0.8
2.832 2.909 0.798
2.998 2.935 0.796
3.174 2.962 0.798
3.36 2.997 0.796
3.556 3.02 0.776
3.764 3.025 0.778
3.984 3.045 0.786
4.217 3.065 0.792
4.464 3.087 0.798
4.727 3.109 0.803
5.003 3.131 0.804
5.296 3.147 0.803
5.605 3.15 0.804
5.932 3.143 0.823
6.281 3.149 0.865
6.648 3.172 0.905
7.036 3.2 0.947
7.451 3.241 0.989
7.887 3.291 1.028
8.349 3.355 1.06
8.837 3.428 1.07
9.35 3.485 1.056
9.903 3.523 1.049
10.48 3.55 1.036
11.74 3.614 1.064
12.43 3.638 1.07
13.16 3.669 1.086
13.93 3.706 1.096
14.74 3.733 1.1
15.6 3.751 1.118
16.52 3.785 1.145
17.48 3.815 1.15
18.51 3.835 1.19
19.59 3.877 1.196
21.95 3.938 1.292
23.24 3.994 1.298
24.59 4.016 1.328
26.04 4.067 1.363
27.56 4.108 1.381
29.17 4.144 1.423
30.88 4.201 1.444
34.59 4.299 1.493
36.63 4.32 1.529
41.04 4.403 1.586
43.44 4.438 1.636
45.97 4.489 1.693
48.68 4.558 1.739
51.51 4.623 1.763
54.52 4.667 1.785
57.72 4.701 1.824
61.1 4.744 1.877
64.67 4.797 1.928
68.46 4.848 1.97
72.46 4.891 2.031
76.72 4.953 2.08
81.19 4.99 2.136
85.98 5.041 2.211
90.96 5.095 2.28
96.33 5.144 2.365
102 5.213 2.461
107.9 5.292 2.549
114.3 5.369 2.642
121 5.459 2.745
135.5 5.661 2.926
143.4 5.755 3.037
160.7 6.026 3.254
170.1 6.183 3.354
190.6 6.521 3.489
213.5 6.752 3.607
239.3 7.103 3.804
268.1 7.53 3.917
300.4 7.877 3.887
400 8.732 4.246
500 9.73 4.418
600 10.629 4.103
800 11.438 3.8

